,gid,geom
18,19,"MULTIPOLYGON(((14.0917963260001 54.8799803750001,14.1727777780001 54.8124999990001,14.4141666670001 54.8124999990001,14.4141666670001 54.658333332,14.6367222220001 54.5362222210001,14.7500000000001 54.4999999990001,14.352222222 54.168888888,14.204560815 54.1276990490001,14.244122222 53.9892944440001,14.227994444 53.929291666,14.0013183470001 54.0653639780001,13.892381347 54.0902999780001,13.8127723470001 54.1667369780001,13.7684723470001 54.165827978,13.758054347 54.1473549780001,13.810809347 54.104472978,13.8227723470001 54.036663978,13.8590273470001 53.9994369780001,13.900418347 54.0119369780001,13.924099347 54.059018978,13.954072347 54.0605459780001,13.9798813470001 54.056609978,14.0559993470001 53.9848639780001,14.039599347 53.942645978,13.9820633470001 53.9625549780001,13.929163347 53.897499978,13.8291903470001 53.8595099780001,13.8852723470001 53.840136978,14.0002723470001 53.851799978,14.039372347 53.869781978,14.2188903470001 53.869018978,14.2756273470001 53.699063977,14.2238903470001 53.7008279770001,13.9591633470001 53.7749909780001,13.808536347 53.8547819780001,13.865272347 53.904163978,13.786109347 54.0499999780001,13.799027347 54.084163978,13.7888903470001 54.109718978,13.7108273470001 54.170827978,13.4840273460001 54.119445978,13.4997183460001 54.0861099780001,13.4545813460001 54.0970819780001,13.379163346 54.1744369780001,13.2851363460001 54.2348639780001,13.118609346 54.2764549780001,13.023890346 54.3997189780001,12.5819453460001 54.3683279780001,12.4801363450001 54.331936978,12.4191633450001 54.2814549780001,12.423954345 54.2589549780001,12.451599345 54.249718978,12.374372345 54.2624279780001,12.3656903450001 54.3051999780001,12.463890345 54.395136978,12.6706903460001 54.4146189780001,12.703799346 54.429672978,12.758336346 54.4130459780001,12.8805543460001 54.4119459780001,12.9215273460001 54.427463978,12.900690346 54.442354978,12.540554345 54.4588819780001,12.526945262 54.474163924,12.3269453450001 54.286663978,12.1297183450001 54.191109978,11.687499345 54.1532549780001,11.626109345 54.1111729780001,11.626354345 54.082390978,11.5768093450001 54.034299978,11.5220813450001 54.033263978,11.4808363450001 53.960272978,11.4127723440001 53.919718978,11.251627344 53.9387819780001,11.1835363440001 54.0119369780001,11.0947183440001 54.013609978,10.904436344 53.957345978,10.8988903440001 53.9311099780001,10.8185363440001 53.8900549780001,10.8636093440001 53.9169369780001,10.890136344 53.9542999780001,10.8797903440001 53.9858999780001,10.795554344 53.995554978,10.7573633440001 54.035827978,10.7622183440001 54.056518978,10.801390344 54.089436978,10.8805543440001 54.090763978,11.0939543440001 54.2054819780001,11.073890346 54.376390959,11.016945344 54.369990978,10.9464540220001 54.3845091810001,10.79500024 54.31235407,10.6905543440001 54.3092999780001,10.609718102 54.3605449840001,10.3683271690001 54.435553966,10.126945343 54.489718978,9.86603634300008 54.4572909780001,9.84555434300006 54.476727978,9.97055434300006 54.5074999780001,10.032499343 54.5552729780001,10.0373631950001 54.668236101,9.97200916000003 54.7607540400001,9.90215404400004 54.7911091030001,9.78555405900005 54.7861091300001,9.57833614500004 54.8255540310001,9.43944515900006 54.807982209,9.45509482100005 54.830402604,9.59709044600004 54.893411729,9.61428823700004 54.8900834710001,9.61941157100006 54.8540079790001,9.71966732200002 54.8249243540001,9.77946482200002 54.8263293540001,9.81096219700004 54.8442991040001,9.85239069700003 54.8210612290001,9.90090332200003 54.8320119790001,10.0715639470001 54.7798161040001,10.1605897470001 54.7773591860001,10.218340246 54.7566750340001,10.374333333 54.620944444,10.660361111 54.5443888880001,10.7330555560001 54.546999999,10.90425 54.637388888,11.075 54.6378611100001,11.321583333 54.569888888,11.581972222 54.4299166660001,11.6707500000001 54.364833332,11.940444444 54.366805555,12.112083333 54.411083332,12.44325 54.6877499990001,12.7499722220001 54.763805555,12.934 54.833805555,13.147958642 55.008304681,13.7856666700001 55.0213611090001,13.9928360060001 54.9624422160001,14.0917963260001 54.8799803750001),(13.2265273460001 54.6411819780001,13.248745346 54.557781978,13.3746723460001 54.6100729780001,13.3835183460001 54.578354978,13.502572346 54.549763978,13.5166093460001 54.5133729780001,13.483854346 54.4837369780001,13.4474633460001 54.488936978,13.3673993460001 54.5804369780001,13.303972346 54.550281978,13.1469633460001 54.5456099780001,13.167236346 54.5133729780001,13.2322273460001 54.4858189780001,13.228609346 54.464999978,13.1646363460001 54.4343459780001,13.2389813460001 54.4114729780001,13.263890346 54.3799999780001,13.1339543460001 54.371381978,13.1188183460001 54.3367279780001,13.1561093460001 54.3055459780001,13.253336346 54.257218978,13.395418346 54.221663978,13.426945346 54.235827978,13.420972346 54.260272978,13.3574993460001 54.2597189780001,13.357636346 54.2731909780001,13.469445346 54.3283279780001,13.506390346 54.3422189780001,13.6869453470001 54.3487459780001,13.7124993470001 54.322636978,13.6953453470001 54.2820099780001,13.7291633470001 54.275136978,13.743890347 54.331109978,13.710690347 54.380972978,13.6713903470001 54.401527978,13.619027347 54.403327978,13.5772813460001 54.456936978,13.5873633460001 54.483190978,13.676527347 54.529436978,13.674509347 54.5665909780001,13.6384723470001 54.5849279780001,13.456299346 54.573154978,13.4074273460001 54.5887549780001,13.384299346 54.641936978,13.441599346 54.6747819780001,13.427081346 54.6824999780001,13.2786093460001 54.671390978,13.2265273460001 54.6411819780001),(11.184163288 54.5200001320001,11.0668002150001 54.5345821290001,11.018609133 54.490827085,11.009027109 54.4472180550001,11.123891202 54.4069450210001,11.3125001170001 54.4083360820001,11.2437450410001 54.4944450500001,11.184163288 54.5200001320001)))"
19,20,"MULTIPOLYGON(((3.40000000000003 55.834999999,3.35000000000002 55.919277777,4.25000000000006 55.772722221,4.75000000000006 55.404166666,5.15000000000003 55.2499999990001,5.40333333300003 55.2499999990001,5.75000000000006 55.5111944440001,7.55266666700004 55.1676111100001,8.30194444400007 55.0639166660001,8.37381357000004 55.083747105,8.44966944500004 55.07561923,8.66454497000007 54.913090965,8.46121834200005 54.899972979,8.42041834200006 54.9196459790001,8.35319034200006 54.9661099790001,8.37194534200006 54.9941639790001,8.43832734200004 55.024163979,8.45423634200006 55.0509729790001,8.38819034200003 55.0491639790001,8.29333634200003 54.900554979,8.28055434200007 54.7749909780001,8.29083634200003 54.7428099780001,8.30089934200004 54.856454979,8.54560934200003 54.8706099790001,8.64139034200002 54.8322189790001,8.69694534200005 54.7469369780001,8.80958134200006 54.6769369780001,8.91889034200005 54.561109978,9.01124534200005 54.5034639780001,9.01395434200003 54.4749909780001,8.99471834200006 54.451945978,8.88694534200005 54.414163978,8.64242734200008 54.3970819780001,8.60048134200002 54.326381978,8.63763634200006 54.276099978,8.66249934200005 54.2681909780001,8.88360934200006 54.294163978,8.81986334200008 54.198609978,8.81277234200007 54.1749999780001,8.82736334200007 54.151663978,8.85236334200005 54.127981978,8.97110934200003 54.1316639780001,9.01721834200004 54.084999978,9.00179934200003 54.0270819780001,8.97499934200005 54.0181909780001,8.88569034200003 54.044718978,8.84427234200007 54.0347549780001,8.88305434200004 53.9611099780001,8.98416334200004 53.891872978,9.21305434200002 53.8897189780001,9.33277234300004 53.8549999780001,9.39374534300003 53.822636978,9.43416334300002 53.744018978,9.57528134300003 53.6136099770001,9.67278134300005 53.5752729770001,9.82906334300003 53.5416999770001,9.69583634300005 53.5502819770001,9.57791834300002 53.588609977,9.28339934200005 53.8555459780001,9.12889034200003 53.8660999780001,9.02055434200003 53.846663978,3.40000000000003 55.834999999),(8.48833634200003 54.685554978,8.56999934200007 54.687354978,8.59486334200005 54.7198549780001,8.58513634200006 54.7445099780001,8.46166334200007 54.7519369780001,8.40986334200005 54.7326369780001,8.39833634200005 54.710199978,8.48833634200003 54.685554978)))"
20,21,"MULTIPOLYGON(((9.02055434200003 53.846663978,8.90749934200005 53.828045978,8.79721834200006 53.8358279780001,8.68221834200006 53.8938909780001,8.60458134200007 53.879018978,8.57736334200007 53.8549999780001,8.48409934200004 53.686318977,8.49082734200005 53.648881977,8.56551834200008 53.529054977,8.50437234200007 53.483190977,8.50389034200003 53.3623549770001,8.48471834200006 53.4122189770001,8.48402734200005 53.4620819770001,8.51333634200006 53.509581977,8.49444534200006 53.554990977,8.33221834200003 53.6152729770001,8.26958134200004 53.6074909770001,8.24305434100006 53.586109977,8.23368134100002 53.5231189770001,8.30499934200003 53.5248549770001,8.31992734200003 53.505554977,8.31187234200007 53.4563189770001,8.28603634200005 53.4208909770001,8.21027234100006 53.403045977,8.09777234100005 53.444445977,8.06242734100005 53.5008999770001,8.16659934100005 53.528881977,8.16124534100004 53.558681977,8.05208134100008 53.631381977,8.01430934100006 53.7083279770001,7.90749934100006 53.7194459770001,7.51347234100007 53.6720819770001,7.34110934100005 53.6886099770001,7.23208134100003 53.6672189770001,7.09353634000007 53.5881909770001,7.03236334000007 53.4823549770001,7.01499934000003 53.4098549770001,7.01895434000005 53.3753459770001,7.04992734000007 53.341109977,7.22694534100003 53.3363909770001,7.33708134100004 53.323054977,7.35089934100006 53.3072549770001,7.25583634100008 53.3160369770001,7.20836334100005 53.242809977,7.17464034100004 53.2872369770001,7.07160934000007 53.3048079770001,6.99493434000004 53.342345977,6.94511734000002 53.441952977,6.93790250600006 53.499675553,6.90904134000004 53.528536977,6.72865834000004 53.514105977,6.64928934000005 53.5357519770001,6.60599789800006 53.593474218,6.45447622700004 53.6511967530001,6.34713888900006 53.725222219,6.10783333300003 53.9991111090001,6.00000000000006 54.186666669,5.00000000000006 54.6199999990001,5.00000000000006 54.9999999990001,4.33333333300004 55.333333329,3.37027777800006 55.7649999990001,3.40000000000003 55.834999999,9.02055434200003 53.846663978)))"
